game,2010,1,20100912,201009120pit,atl,"Atlanta Falcons",9,pit,"Pittsburgh Steelers",15
player,201009120pit,pit,MendRa00,pass_rating,,,,,,
player,201009120pit,pit,MendRa00,rush_att,22,,,,,
player,201009120pit,pit,MendRa00,rush_yds,120,,,,,
player,201009120pit,pit,MendRa00,rush_td,1,,,,,
player,201009120pit,pit,MendRa00,rush_long,50,,,,,
player,201009120pit,pit,MendRa00,targets,2,,,,,
player,201009120pit,pit,MendRa00,rec,2,,,,,
player,201009120pit,pit,MendRa00,rec_yds,15,,,,,
player,201009120pit,pit,MendRa00,rec_td,0,,,,,
player,201009120pit,pit,MendRa00,rec_long,9,,,,,
player,201009120pit,pit,MendRa00,fumbles,0,,,,,
player,201009120pit,pit,MendRa00,fumbles_lost,,,,,,
player,201009120pit,pit,RedmIs20,pass_cmp,0,,,,,
player,201009120pit,pit,RedmIs20,pass_att,0,,,,,
player,201009120pit,pit,RedmIs20,pass_yds,0,,,,,
player,201009120pit,pit,RedmIs20,pass_td,0,,,,,
player,201009120pit,pit,RedmIs20,pass_int,0,,,,,
player,201009120pit,pit,RedmIs20,pass_sacked,,,,,,
player,201009120pit,pit,RedmIs20,pass_sacked_yds,,,,,,
player,201009120pit,pit,RedmIs20,pass_long,0,,,,,
player,201009120pit,pit,RedmIs20,pass_rating,,,,,,
player,201009120pit,pit,RedmIs20,rush_att,6,,,,,
player,201009120pit,pit,RedmIs20,rush_yds,19,,,,,
player,201009120pit,pit,RedmIs20,rush_td,0,,,,,
player,201009120pit,pit,RedmIs20,rush_long,6,,,,,
player,201009120pit,pit,RedmIs20,targets,0,,,,,
player,201009120pit,pit,RedmIs20,rec,0,,,,,
player,201009120pit,pit,RedmIs20,rec_yds,0,,,,,
player,201009120pit,pit,RedmIs20,rec_td,0,,,,,
player,201009120pit,pit,RedmIs20,rec_long,0,,,,,
player,201009120pit,pit,RedmIs20,fumbles,0,,,,,
player,201009120pit,pit,RedmIs20,fumbles_lost,,,,,,
player,201009120pit,pit,WardHi00,pass_cmp,0,,,,,
player,201009120pit,pit,WardHi00,pass_att,0,,,,,
player,201009120pit,pit,WardHi00,pass_yds,0,,,,,
player,201009120pit,pit,WardHi00,pass_td,0,,,,,
player,201009120pit,pit,WardHi00,pass_int,0,,,,,
player,201009120pit,pit,WardHi00,pass_sacked,,,,,,
player,201009120pit,pit,WardHi00,pass_sacked_yds,,,,,,
player,201009120pit,pit,WardHi00,pass_long,0,,,,,
player,201009120pit,pit,WardHi00,pass_rating,,,,,,
player,201009120pit,pit,WardHi00,rush_att,0,,,,,
player,201009120pit,pit,WardHi00,rush_yds,0,,,,,
player,201009120pit,pit,WardHi00,rush_td,0,,,,,
player,201009120pit,pit,WardHi00,rush_long,0,,,,,
player,201009120pit,pit,WardHi00,targets,7,,,,,
player,201009120pit,pit,WardHi00,rec,6,,,,,
player,201009120pit,pit,WardHi00,rec_yds,108,,,,,
player,201009120pit,pit,WardHi00,rec_td,0,,,,,
player,201009120pit,pit,WardHi00,rec_long,25,,,,,
player,201009120pit,pit,WardHi00,fumbles,0,,,,,
player,201009120pit,pit,WardHi00,fumbles_lost,,,,,,
player,201009120pit,pit,WallMi00,pass_cmp,0,,,,,
player,201009120pit,pit,WallMi00,pass_att,0,,,,,
player,201009120pit,pit,WallMi00,pass_yds,0,,,,,
player,201009120pit,pit,WallMi00,pass_td,0,,,,,
player,201009120pit,pit,WallMi00,pass_int,0,,,,,
player,201009120pit,pit,WallMi00,pass_sacked,,,,,,
player,201009120pit,pit,WallMi00,pass_sacked_yds,,,,,,
