game,2010,10,20101114,201011140mia,oti,"Tennessee Titans",17,mia,"Miami Dolphins",29
player,201011140mia,mia,BessDa00,pass_att,0,,,,,
player,201011140mia,mia,BessDa00,pass_yds,0,,,,,
player,201011140mia,mia,BessDa00,pass_td,0,,,,,
player,201011140mia,mia,BessDa00,pass_int,0,,,,,
player,201011140mia,mia,BessDa00,pass_sacked,,,,,,
player,201011140mia,mia,BessDa00,pass_sacked_yds,,,,,,
player,201011140mia,mia,BessDa00,pass_long,0,,,,,
player,201011140mia,mia,BessDa00,pass_rating,,,,,,
player,201011140mia,mia,BessDa00,rush_att,0,,,,,
player,201011140mia,mia,BessDa00,rush_yds,0,,,,,
player,201011140mia,mia,BessDa00,rush_td,0,,,,,
player,201011140mia,mia,BessDa00,rush_long,0,,,,,
player,201011140mia,mia,BessDa00,targets,6,,,,,
player,201011140mia,mia,BessDa00,rec,4,,,,,
player,201011140mia,mia,BessDa00,rec_yds,29,,,,,
player,201011140mia,mia,BessDa00,rec_td,0,,,,,
player,201011140mia,mia,BessDa00,rec_long,16,,,,,
player,201011140mia,mia,BessDa00,fumbles,0,,,,,
player,201011140mia,mia,BessDa00,fumbles_lost,,,,,,
player,201011140mia,mia,HillLe00,pass_cmp,0,,,,,
player,201011140mia,mia,HillLe00,pass_att,0,,,,,
player,201011140mia,mia,HillLe00,pass_yds,0,,,,,
player,201011140mia,mia,HillLe00,pass_td,0,,,,,
player,201011140mia,mia,HillLe00,pass_int,0,,,,,
player,201011140mia,mia,HillLe00,pass_sacked,,,,,,
player,201011140mia,mia,HillLe00,pass_sacked_yds,,,,,,
player,201011140mia,mia,HillLe00,pass_long,0,,,,,
player,201011140mia,mia,HillLe00,pass_rating,,,,,,
player,201011140mia,mia,HillLe00,rush_att,0,,,,,
player,201011140mia,mia,HillLe00,rush_yds,0,,,,,
player,201011140mia,mia,HillLe00,rush_td,0,,,,,
player,201011140mia,mia,HillLe00,rush_long,0,,,,,
player,201011140mia,mia,HillLe00,targets,1,,,,,
