game,2010,8,20101031,201010310dal,jax,"Jacksonville Jaguars",35,dal,"Dallas Cowboys",17
player,201010310dal,dal,WillRo04,pass_sacked_yds,,,,,,
player,201010310dal,dal,WillRo04,pass_long,0,,,,,
player,201010310dal,dal,WillRo04,pass_rating,,,,,,
player,201010310dal,dal,WillRo04,rush_att,0,,,,,
player,201010310dal,dal,WillRo04,rush_yds,0,,,,,
player,201010310dal,dal,WillRo04,rush_td,0,,,,,
player,201010310dal,dal,WillRo04,rush_long,0,,,,,
player,201010310dal,dal,WillRo04,targets,3,,,,,
player,201010310dal,dal,WillRo04,rec,1,,,,,
player,201010310dal,dal,WillRo04,rec_yds,21,,,,,
player,201010310dal,dal,WillRo04,rec_td,0,,,,,
player,201010310dal,dal,WillRo04,rec_long,21,,,,,
player,201010310dal,dal,WillRo04,fumbles,0,,,,,
player,201010310dal,dal,WillRo04,fumbles_lost,,,,,,
player,201010310dal,dal,HurdSa00,pass_cmp,0,,,,,
player,201010310dal,dal,HurdSa00,pass_att,0,,,,,
player,201010310dal,dal,HurdSa00,pass_yds,0,,,,,
player,201010310dal,dal,HurdSa00,pass_td,0,,,,,
player,201010310dal,dal,HurdSa00,pass_int,0,,,,,
player,201010310dal,dal,HurdSa00,pass_sacked,,,,,,
player,201010310dal,dal,HurdSa00,pass_sacked_yds,,,,,,
player,201010310dal,dal,HurdSa00,pass_long,0,,,,,
player,201010310dal,dal,HurdSa00,pass_rating,,,,,,
player,201010310dal,dal,HurdSa00,rush_att,0,,,,,
player,201010310dal,dal,HurdSa00,rush_yds,0,,,,,
player,201010310dal,dal,HurdSa00,rush_td,0,,,,,
player,201010310dal,dal,HurdSa00,rush_long,0,,,,,
player,201010310dal,dal,HurdSa00,targets,4,,,,,
player,201010310dal,dal,HurdSa00,rec,2,,,,,
player,201010310dal,dal,HurdSa00,rec_yds,19,,,,,
player,201010310dal,dal,HurdSa00,rec_td,0,,,,,
player,201010310dal,dal,HurdSa00,rec_long,11,,,,,
player,201010310dal,dal,HurdSa00,fumbles,0,,,,,
player,201010310dal,dal,HurdSa00,fumbles_lost,,,,,,
player,201010310dal,dal,BennMa00,pass_cmp,,,,,,
player,201010310dal,dal,BennMa00,pass_att,,,,,,
player,201010310dal,dal,BennMa00,pass_yds,,,,,,
player,201010310dal,dal,BennMa00,pass_td,,,,,,
player,201010310dal,dal,BennMa00,pass_int,,,,,,
player,201010310dal,dal,BennMa00,pass_sacked,,,,,,
player,201010310dal,dal,BennMa00,pass_sacked_yds,,,,,,
player,201010310dal,dal,BennMa00,pass_long,,,,,,
player,201010310dal,dal,BennMa00,pass_rating,,,,,,
player,201010310dal,dal,BennMa00,rush_att,,,,,,
player,201010310dal,dal,BennMa00,rush_yds,,,,,,
player,201010310dal,dal,BennMa00,rush_td,,,,,,
player,201010310dal,dal,BennMa00,rush_long,,,,,,
player,201010310dal,dal,BennMa00,targets,1,,,,,
player,201010310dal,dal,BennMa00,rec,0,,,,,
player,201010310dal,dal,BennMa00,rec_yds,0,,,,,
player,201010310dal,dal,BennMa00,rec_td,0,,,,,
player,201010310dal,dal,BennMa00,rec_long,,,,,,
player,201010310dal,dal,BennMa00,fumbles,,,,,,
player,201010310dal,dal,BennMa00,fumbles_lost,,,,,,
player,201010310dal,jax,CoxxDe99,def_int,2,,,,,
player,201010310dal,jax,CoxxDe99,def_int_yds,14,,,,,
player,201010310dal,jax,CoxxDe99,def_int_td,0,,,,,
player,201010310dal,jax,CoxxDe99,def_int_long,14,,,,,
player,201010310dal,jax,CoxxDe99,pass_defended,3,,,,,
player,201010310dal,jax,CoxxDe99,sacks,0.0,,,,,
player,201010310dal,jax,CoxxDe99,tackles_combined,6,,,,,
player,201010310dal,jax,CoxxDe99,tackles_solo,5,,,,,
player,201010310dal,jax,CoxxDe99,tackles_assists,1,,,,,
player,201010310dal,jax,CoxxDe99,tackles_loss,1,,,,,
player,201010310dal,jax,CoxxDe99,qb_hits,0,,,,,
player,201010310dal,jax,CoxxDe99,fumbles_rec,0,,,,,
player,201010310dal,jax,CoxxDe99,fumbles_rec_yds,0,,,,,
player,201010310dal,jax,CoxxDe99,fumbles_rec_td,0,,,,,
player,201010310dal,jax,CoxxDe99,fumbles_forced,0,,,,,
player,201010310dal,jax,KnigTe99,def_int,1,,,,,
player,201010310dal,jax,KnigTe99,def_int_yds,-3,,,,,
player,201010310dal,jax,KnigTe99,def_int_td,0,,,,,
player,201010310dal,jax,KnigTe99,def_int_long,-3,,,,,
player,201010310dal,jax,KnigTe99,pass_defended,1,,,,,
player,201010310dal,jax,KnigTe99,sacks,0.5,,,,,
player,201010310dal,jax,KnigTe99,tackles_combined,1,,,,,
player,201010310dal,jax,KnigTe99,tackles_solo,0,,,,,
player,201010310dal,jax,KnigTe99,tackles_assists,1,,,,,
player,201010310dal,jax,KnigTe99,tackles_loss,0,,,,,
player,201010310dal,jax,KnigTe99,qb_hits,1,,,,,
player,201010310dal,jax,KnigTe99,fumbles_rec,0,,,,,
player,201010310dal,jax,KnigTe99,fumbles_rec_yds,0,,,,,
player,201010310dal,jax,KnigTe99,fumbles_rec_td,0,,,,,
player,201010310dal,jax,KnigTe99,fumbles_forced,0,,,,,
player,201010310dal,jax,MathRa99,def_int,1,,,,,
player,201010310dal,jax,MathRa99,def_int_yds,24,,,,,
player,201010310dal,jax,MathRa99,def_int_td,0,,,,,
player,201010310dal,jax,MathRa99,def_int_long,24,,,,,
player,201010310dal,jax,MathRa99,pass_defended,2,,,,,
player,201010310dal,jax,MathRa99,sacks,0.0,,,,,
player,201010310dal,jax,MathRa99,tackles_combined,4,,,,,
player,201010310dal,jax,MathRa99,tackles_solo,3,,,,,
player,201010310dal,jax,MathRa99,tackles_assists,1,,,,,
player,201010310dal,jax,MathRa99,tackles_loss,0,,,,,
player,201010310dal,jax,MathRa99,qb_hits,0,,,,,
player,201010310dal,jax,MathRa99,fumbles_rec,0,,,,,
player,201010310dal,jax,MathRa99,fumbles_rec_yds,0,,,,,
player,201010310dal,jax,MathRa99,fumbles_rec_td,0,,,,,
player,201010310dal,jax,MathRa99,fumbles_forced,0,,,,,
player,201010310dal,jax,AluaTy99,def_int,0,,,,,
player,201010310dal,jax,AluaTy99,def_int_yds,0,,,,,
player,201010310dal,jax,AluaTy99,def_int_td,0,,,,,
player,201010310dal,jax,AluaTy99,def_int_long,0,,,,,
player,201010310dal,jax,AluaTy99,pass_defended,0,,,,,
player,201010310dal,jax,AluaTy99,sacks,1.0,,,,,
player,201010310dal,jax,AluaTy99,tackles_combined,2,,,,,
player,201010310dal,jax,AluaTy99,tackles_solo,2,,,,,
player,201010310dal,jax,AluaTy99,tackles_assists,0,,,,,
player,201010310dal,jax,AluaTy99,tackles_loss,2,,,,,
player,201010310dal,jax,AluaTy99,qb_hits,1,,,,,
player,201010310dal,jax,AluaTy99,fumbles_rec,0,,,,,
player,201010310dal,jax,AluaTy99,fumbles_rec_yds,0,,,,,
player,201010310dal,jax,AluaTy99,fumbles_rec_td,0,,,,,
player,201010310dal,jax,AluaTy99,fumbles_forced,0,,,,,
player,201010310dal,jax,HartLa99,def_int,0,,,,,
player,201010310dal,jax,HartLa99,def_int_yds,0,,,,,
player,201010310dal,jax,HartLa99,def_int_td,0,,,,,
player,201010310dal,jax,HartLa99,def_int_long,0,,,,,
player,201010310dal,jax,HartLa99,pass_defended,0,,,,,
player,201010310dal,jax,HartLa99,sacks,0.5,,,,,
player,201010310dal,jax,HartLa99,tackles_combined,1,,,,,
player,201010310dal,jax,HartLa99,tackles_solo,0,,,,,
player,201010310dal,jax,HartLa99,tackles_assists,1,,,,,
player,201010310dal,jax,HartLa99,tackles_loss,0,,,,,
player,201010310dal,jax,HartLa99,qb_hits,2,,,,,
player,201010310dal,jax,HartLa99,fumbles_rec,0,,,,,
player,201010310dal,jax,HartLa99,fumbles_rec_yds,0,,,,,
player,201010310dal,jax,HartLa99,fumbles_rec_td,0,,,,,
player,201010310dal,jax,HartLa99,fumbles_forced,0,,,,,
player,201010310dal,jax,DuraJu99,def_int,0,,,,,
player,201010310dal,jax,DuraJu99,def_int_yds,0,,,,,
player,201010310dal,jax,DuraJu99,def_int_td,0,,,,,
player,201010310dal,jax,DuraJu99,def_int_long,0,,,,,
player,201010310dal,jax,DuraJu99,pass_defended,0,,,,,
player,201010310dal,jax,DuraJu99,sacks,0.0,,,,,
player,201010310dal,jax,DuraJu99,tackles_combined,12,,,,,
player,201010310dal,jax,DuraJu99,tackles_solo,9,,,,,
player,201010310dal,jax,DuraJu99,tackles_assists,3,,,,,
player,201010310dal,jax,DuraJu99,tackles_loss,0,,,,,
player,201010310dal,jax,DuraJu99,qb_hits,0,,,,,
player,201010310dal,jax,DuraJu99,fumbles_rec,0,,,,,
player,201010310dal,jax,DuraJu99,fumbles_rec_yds,0,,,,,
