game,2010,8,20101031,201010310cin,mia,"Miami Dolphins",22,cin,"Cincinnati Bengals",14
player,201010310cin,mia,FasaAn00,rush_long,0,,,,,
player,201010310cin,mia,FasaAn00,targets,6,,,,,
player,201010310cin,mia,FasaAn00,rec,3,,,,,
player,201010310cin,mia,FasaAn00,rec_yds,36,,,,,
player,201010310cin,mia,FasaAn00,rec_td,0,,,,,
player,201010310cin,mia,FasaAn00,rec_long,15,,,,,
player,201010310cin,mia,FasaAn00,fumbles,0,,,,,
player,201010310cin,mia,FasaAn00,fumbles_lost,,,,,,
player,201010310cin,mia,CobbPa00,pass_cmp,0,,,,,
player,201010310cin,mia,CobbPa00,pass_att,0,,,,,
player,201010310cin,mia,CobbPa00,pass_yds,0,,,,,
player,201010310cin,mia,CobbPa00,pass_td,0,,,,,
player,201010310cin,mia,CobbPa00,pass_int,0,,,,,
player,201010310cin,mia,CobbPa00,pass_sacked,,,,,,
player,201010310cin,mia,CobbPa00,pass_sacked_yds,,,,,,
player,201010310cin,mia,CobbPa00,pass_long,0,,,,,
player,201010310cin,mia,CobbPa00,pass_rating,,,,,,
player,201010310cin,mia,CobbPa00,rush_att,0,,,,,
player,201010310cin,mia,CobbPa00,rush_yds,0,,,,,
player,201010310cin,mia,CobbPa00,rush_td,0,,,,,
player,201010310cin,mia,CobbPa00,rush_long,0,,,,,
player,201010310cin,mia,CobbPa00,targets,1,,,,,
player,201010310cin,mia,CobbPa00,rec,0,,,,,
player,201010310cin,mia,CobbPa00,rec_yds,0,,,,,
player,201010310cin,mia,CobbPa00,rec_td,0,,,,,
player,201010310cin,mia,CobbPa00,rec_long,0,,,,,
player,201010310cin,mia,CobbPa00,fumbles,0,,,,,
player,201010310cin,mia,CobbPa00,fumbles_lost,,,,,,
player,201010310cin,mia,WallRo01,pass_cmp,,,,,,
player,201010310cin,mia,WallRo01,pass_att,,,,,,
player,201010310cin,mia,WallRo01,pass_yds,,,,,,
player,201010310cin,mia,WallRo01,pass_td,,,,,,
player,201010310cin,mia,WallRo01,pass_int,,,,,,
player,201010310cin,mia,WallRo01,pass_sacked,,,,,,
player,201010310cin,mia,WallRo01,pass_sacked_yds,,,,,,
player,201010310cin,mia,WallRo01,pass_long,,,,,,
player,201010310cin,mia,WallRo01,pass_rating,,,,,,
player,201010310cin,mia,WallRo01,rush_att,,,,,,
player,201010310cin,mia,WallRo01,rush_yds,,,,,,
player,201010310cin,mia,WallRo01,rush_td,,,,,,
player,201010310cin,mia,WallRo01,rush_long,,,,,,
player,201010310cin,mia,WallRo01,targets,1,,,,,
player,201010310cin,mia,WallRo01,rec,0,,,,,
player,201010310cin,mia,WallRo01,rec_yds,0,,,,,
player,201010310cin,mia,WallRo01,rec_td,0,,,,,
player,201010310cin,mia,WallRo01,rec_long,,,,,,
player,201010310cin,mia,WallRo01,fumbles,,,,,,
player,201010310cin,mia,WallRo01,fumbles_lost,,,,,,
player,201010310cin,cin,PalmCa00,pass_cmp,17,,,,,
player,201010310cin,cin,PalmCa00,pass_att,38,,,,,
player,201010310cin,cin,PalmCa00,pass_yds,156,,,,,
player,201010310cin,cin,PalmCa00,pass_td,2,,,,,
player,201010310cin,cin,PalmCa00,pass_int,1,,,,,
player,201010310cin,cin,PalmCa00,pass_sacked,0,,,,,
player,201010310cin,cin,PalmCa00,pass_sacked_yds,0,,,,,
player,201010310cin,cin,PalmCa00,pass_long,37,,,,,
player,201010310cin,cin,PalmCa00,pass_rating,63.0,,,,,
player,201010310cin,cin,PalmCa00,rush_att,3,,,,,
player,201010310cin,cin,PalmCa00,rush_yds,13,,,,,
player,201010310cin,cin,PalmCa00,rush_td,0,,,,,
player,201010310cin,cin,PalmCa00,rush_long,8,,,,,
player,201010310cin,cin,PalmCa00,targets,0,,,,,
player,201010310cin,cin,PalmCa00,rec,0,,,,,
player,201010310cin,cin,PalmCa00,rec_yds,0,,,,,
player,201010310cin,cin,PalmCa00,rec_td,0,,,,,
player,201010310cin,cin,PalmCa00,rec_long,0,,,,,
player,201010310cin,cin,PalmCa00,fumbles,0,,,,,
player,201010310cin,cin,PalmCa00,fumbles_lost,,,,,,
player,201010310cin,cin,BensCe00,pass_cmp,0,,,,,
player,201010310cin,cin,BensCe00,pass_att,0,,,,,
player,201010310cin,cin,BensCe00,pass_yds,0,,,,,
player,201010310cin,cin,BensCe00,pass_td,0,,,,,
player,201010310cin,cin,BensCe00,pass_int,0,,,,,
player,201010310cin,cin,BensCe00,pass_sacked,,,,,,
player,201010310cin,cin,BensCe00,pass_sacked_yds,,,,,,
player,201010310cin,cin,BensCe00,pass_long,0,,,,,
player,201010310cin,cin,BensCe00,pass_rating,,,,,,
player,201010310cin,cin,BensCe00,rush_att,20,,,,,
player,201010310cin,cin,BensCe00,rush_yds,69,,,,,
player,201010310cin,cin,BensCe00,rush_td,0,,,,,
player,201010310cin,cin,BensCe00,rush_long,13,,,,,
player,201010310cin,cin,BensCe00,targets,3,,,,,
player,201010310cin,cin,BensCe00,rec,3,,,,,
player,201010310cin,cin,BensCe00,rec_yds,12,,,,,
player,201010310cin,cin,BensCe00,rec_td,0,,,,,
player,201010310cin,cin,BensCe00,rec_long,8,,,,,
player,201010310cin,cin,BensCe00,fumbles,0,,,,,
player,201010310cin,cin,BensCe00,fumbles_lost,,,,,,
player,201010310cin,cin,ScotBe00,pass_cmp,0,,,,,
player,201010310cin,cin,ScotBe00,pass_att,0,,,,,
player,201010310cin,cin,ScotBe00,pass_yds,0,,,,,
player,201010310cin,cin,ScotBe00,pass_td,0,,,,,
player,201010310cin,cin,ScotBe00,pass_int,0,,,,,
player,201010310cin,cin,ScotBe00,pass_sacked,,,,,,
player,201010310cin,cin,ScotBe00,pass_sacked_yds,,,,,,
player,201010310cin,cin,ScotBe00,pass_long,0,,,,,
player,201010310cin,cin,ScotBe00,pass_rating,,,,,,
player,201010310cin,cin,ScotBe00,rush_att,2,,,,,
player,201010310cin,cin,ScotBe00,rush_yds,22,,,,,
player,201010310cin,cin,ScotBe00,rush_td,0,,,,,
player,201010310cin,cin,ScotBe00,rush_long,18,,,,,
player,201010310cin,cin,ScotBe00,targets,0,,,,,
player,201010310cin,cin,ScotBe00,rec,0,,,,,
player,201010310cin,cin,ScotBe00,rec_yds,0,,,,,
player,201010310cin,cin,ScotBe00,rec_td,0,,,,,
player,201010310cin,cin,ScotBe00,rec_long,0,,,,,
player,201010310cin,cin,ScotBe00,fumbles,0,,,,,
player,201010310cin,cin,ScotBe00,fumbles_lost,,,,,,
player,201010310cin,cin,LeonBr00,pass_cmp,0,,,,,
player,201010310cin,cin,LeonBr00,pass_att,0,,,,,
player,201010310cin,cin,LeonBr00,pass_yds,0,,,,,
player,201010310cin,cin,LeonBr00,pass_td,0,,,,,
player,201010310cin,cin,LeonBr00,pass_int,0,,,,,
player,201010310cin,cin,LeonBr00,pass_sacked,,,,,,
player,201010310cin,cin,LeonBr00,pass_sacked_yds,,,,,,
player,201010310cin,cin,LeonBr00,pass_long,0,,,,,
player,201010310cin,cin,LeonBr00,pass_rating,,,,,,
player,201010310cin,cin,LeonBr00,rush_att,1,,,,,
player,201010310cin,cin,LeonBr00,rush_yds,2,,,,,
player,201010310cin,cin,LeonBr00,rush_td,0,,,,,
player,201010310cin,cin,LeonBr00,rush_long,2,,,,,
player,201010310cin,cin,LeonBr00,targets,1,,,,,
player,201010310cin,cin,LeonBr00,rec,0,,,,,
player,201010310cin,cin,LeonBr00,rec_yds,0,,,,,
player,201010310cin,cin,LeonBr00,rec_td,0,,,,,
player,201010310cin,cin,LeonBr00,rec_long,0,,,,,
player,201010310cin,cin,LeonBr00,fumbles,0,,,,,
player,201010310cin,cin,LeonBr00,fumbles_lost,,,,,,
player,201010310cin,cin,OwenTe00,pass_cmp,0,,,,,
player,201010310cin,cin,OwenTe00,pass_att,0,,,,,
player,201010310cin,cin,OwenTe00,pass_yds,0,,,,,
player,201010310cin,cin,OwenTe00,pass_td,0,,,,,
player,201010310cin,cin,OwenTe00,pass_int,0,,,,,
player,201010310cin,cin,OwenTe00,pass_sacked,,,,,,
player,201010310cin,cin,OwenTe00,pass_sacked_yds,,,,,,
player,201010310cin,cin,OwenTe00,pass_long,0,,,,,
player,201010310cin,cin,OwenTe00,pass_rating,,,,,,
player,201010310cin,cin,OwenTe00,rush_att,0,,,,,
player,201010310cin,cin,OwenTe00,rush_yds,0,,,,,
player,201010310cin,cin,OwenTe00,rush_td,0,,,,,
player,201010310cin,cin,OwenTe00,rush_long,0,,,,,
player,201010310cin,cin,OwenTe00,targets,12,,,,,
player,201010310cin,cin,OwenTe00,rec,5,,,,,
player,201010310cin,cin,OwenTe00,rec_yds,65,,,,,
