game,2010,13,20101205,201012050min,buf,"Buffalo Bills",14,min,"Minnesota Vikings",38
player,201012050min,buf,AyodAk20,fumbles_forced,0,,,,,
player,201012050min,buf,JohnSp20,def_int,0,,,,,
player,201012050min,buf,JohnSp20,def_int_yds,0,,,,,
player,201012050min,buf,JohnSp20,def_int_td,0,,,,,
player,201012050min,buf,JohnSp20,def_int_long,0,,,,,
player,201012050min,buf,JohnSp20,pass_defended,0,,,,,
player,201012050min,buf,JohnSp20,sacks,0.0,,,,,
player,201012050min,buf,JohnSp20,tackles_combined,6,,,,,
player,201012050min,buf,JohnSp20,tackles_solo,4,,,,,
player,201012050min,buf,JohnSp20,tackles_assists,2,,,,,
player,201012050min,buf,JohnSp20,tackles_loss,2,,,,,
player,201012050min,buf,JohnSp20,qb_hits,0,,,,,
player,201012050min,buf,JohnSp20,fumbles_rec,0,,,,,
player,201012050min,buf,JohnSp20,fumbles_rec_yds,0,,,,,
player,201012050min,buf,JohnSp20,fumbles_rec_td,0,,,,,
player,201012050min,buf,JohnSp20,fumbles_forced,0,,,,,
player,201012050min,buf,WillKy20,def_int,0,,,,,
player,201012050min,buf,WillKy20,def_int_yds,0,,,,,
player,201012050min,buf,WillKy20,def_int_td,0,,,,,
player,201012050min,buf,WillKy20,def_int_long,0,,,,,
player,201012050min,buf,WillKy20,pass_defended,0,,,,,
player,201012050min,buf,WillKy20,sacks,0.0,,,,,
player,201012050min,buf,WillKy20,tackles_combined,4,,,,,
player,201012050min,buf,WillKy20,tackles_solo,1,,,,,
player,201012050min,buf,WillKy20,tackles_assists,3,,,,,
player,201012050min,buf,WillKy20,tackles_loss,1,,,,,
player,201012050min,buf,WillKy20,qb_hits,0,,,,,
player,201012050min,buf,WillKy20,fumbles_rec,0,,,,,
player,201012050min,buf,WillKy20,fumbles_rec_yds,0,,,,,
player,201012050min,buf,WillKy20,fumbles_rec_td,0,,,,,
player,201012050min,buf,WillKy20,fumbles_forced,0,,,,,
player,201012050min,buf,ByrdJa99,def_int,0,,,,,
player,201012050min,buf,ByrdJa99,def_int_yds,0,,,,,
player,201012050min,buf,ByrdJa99,def_int_td,0,,,,,
player,201012050min,buf,ByrdJa99,def_int_long,0,,,,,
player,201012050min,buf,ByrdJa99,pass_defended,0,,,,,
player,201012050min,buf,ByrdJa99,sacks,0.0,,,,,
player,201012050min,buf,ByrdJa99,tackles_combined,3,,,,,
player,201012050min,buf,ByrdJa99,tackles_solo,3,,,,,
player,201012050min,buf,ByrdJa99,tackles_assists,0,,,,,
player,201012050min,buf,ByrdJa99,tackles_loss,0,,,,,
player,201012050min,buf,ByrdJa99,qb_hits,0,,,,,
player,201012050min,buf,ByrdJa99,fumbles_rec,0,,,,,
player,201012050min,buf,ByrdJa99,fumbles_rec_yds,0,,,,,
player,201012050min,buf,ByrdJa99,fumbles_rec_td,0,,,,,
player,201012050min,buf,ByrdJa99,fumbles_forced,0,,,,,
player,201012050min,buf,KelsCh21,def_int,0,,,,,
player,201012050min,buf,KelsCh21,def_int_yds,0,,,,,
player,201012050min,buf,KelsCh21,def_int_td,0,,,,,
player,201012050min,buf,KelsCh21,def_int_long,0,,,,,
player,201012050min,buf,KelsCh21,pass_defended,0,,,,,
player,201012050min,buf,KelsCh21,sacks,0.0,,,,,
player,201012050min,buf,KelsCh21,tackles_combined,3,,,,,
player,201012050min,buf,KelsCh21,tackles_solo,3,,,,,
player,201012050min,buf,KelsCh21,tackles_assists,0,,,,,
player,201012050min,buf,KelsCh21,tackles_loss,1,,,,,
player,201012050min,buf,KelsCh21,qb_hits,1,,,,,
player,201012050min,buf,KelsCh21,fumbles_rec,0,,,,,
player,201012050min,buf,KelsCh21,fumbles_rec_yds,0,,,,,
player,201012050min,buf,KelsCh21,fumbles_rec_td,0,,,,,
player,201012050min,buf,KelsCh21,fumbles_forced,0,,,,,
player,201012050min,buf,MoatAr00,def_int,0,,,,,
player,201012050min,buf,MoatAr00,def_int_yds,0,,,,,
player,201012050min,buf,MoatAr00,def_int_td,0,,,,,
player,201012050min,buf,MoatAr00,def_int_long,0,,,,,
player,201012050min,buf,MoatAr00,pass_defended,0,,,,,
player,201012050min,buf,MoatAr00,sacks,0.0,,,,,
player,201012050min,buf,MoatAr00,tackles_combined,2,,,,,
player,201012050min,buf,MoatAr00,tackles_solo,1,,,,,
player,201012050min,buf,MoatAr00,tackles_assists,1,,,,,
player,201012050min,buf,MoatAr00,tackles_loss,0,,,,,
player,201012050min,buf,MoatAr00,qb_hits,1,,,,,
player,201012050min,buf,MoatAr00,fumbles_rec,0,,,,,
player,201012050min,buf,MoatAr00,fumbles_rec_yds,0,,,,,
player,201012050min,buf,MoatAr00,fumbles_rec_td,0,,,,,
player,201012050min,buf,MoatAr00,fumbles_forced,0,,,,,
player,201012050min,buf,WilsGe01,def_int,0,,,,,
player,201012050min,buf,WilsGe01,def_int_yds,0,,,,,
player,201012050min,buf,WilsGe01,def_int_td,0,,,,,
player,201012050min,buf,WilsGe01,def_int_long,0,,,,,
player,201012050min,buf,WilsGe01,pass_defended,0,,,,,
player,201012050min,buf,WilsGe01,sacks,0.0,,,,,
player,201012050min,buf,WilsGe01,tackles_combined,2,,,,,
player,201012050min,buf,WilsGe01,tackles_solo,2,,,,,
player,201012050min,buf,WilsGe01,tackles_assists,0,,,,,
player,201012050min,buf,WilsGe01,tackles_loss,0,,,,,
player,201012050min,buf,WilsGe01,qb_hits,0,,,,,
player,201012050min,buf,WilsGe01,fumbles_rec,0,,,,,
player,201012050min,buf,WilsGe01,fumbles_rec_yds,0,,,,,
player,201012050min,buf,WilsGe01,fumbles_rec_td,0,,,,,
player,201012050min,buf,WilsGe01,fumbles_forced,0,,,,,
player,201012050min,buf,JoneDo00,def_int,0,,,,,
player,201012050min,buf,JoneDo00,def_int_yds,0,,,,,
player,201012050min,buf,JoneDo00,def_int_td,0,,,,,
player,201012050min,buf,JoneDo00,def_int_long,0,,,,,
player,201012050min,buf,JoneDo00,pass_defended,0,,,,,
player,201012050min,buf,JoneDo00,sacks,0.0,,,,,
player,201012050min,buf,JoneDo00,tackles_combined,1,,,,,
player,201012050min,buf,JoneDo00,tackles_solo,1,,,,,
player,201012050min,buf,JoneDo00,tackles_assists,0,,,,,
player,201012050min,buf,JoneDo00,tackles_loss,0,,,,,
player,201012050min,buf,JoneDo00,qb_hits,0,,,,,
player,201012050min,buf,JoneDo00,fumbles_rec,0,,,,,
player,201012050min,buf,JoneDo00,fumbles_rec_yds,0,,,,,
player,201012050min,buf,JoneDo00,fumbles_rec_td,0,,,,,
player,201012050min,buf,JoneDo00,fumbles_forced,0,,,,,
player,201012050min,buf,McCaJo22,def_int,0,,,,,
player,201012050min,buf,McCaJo22,def_int_yds,0,,,,,
player,201012050min,buf,McCaJo22,def_int_td,0,,,,,
player,201012050min,buf,McCaJo22,def_int_long,0,,,,,
player,201012050min,buf,McCaJo22,pass_defended,0,,,,,
player,201012050min,buf,McCaJo22,sacks,0.0,,,,,
player,201012050min,buf,McCaJo22,tackles_combined,1,,,,,
player,201012050min,buf,McCaJo22,tackles_solo,0,,,,,
player,201012050min,buf,McCaJo22,tackles_assists,1,,,,,
player,201012050min,buf,McCaJo22,tackles_loss,0,,,,,
player,201012050min,buf,McCaJo22,qb_hits,0,,,,,
player,201012050min,buf,McCaJo22,fumbles_rec,0,,,,,
player,201012050min,buf,McCaJo22,fumbles_rec_yds,0,,,,,
player,201012050min,buf,McCaJo22,fumbles_rec_td,0,,,,,
player,201012050min,buf,McCaJo22,fumbles_forced,0,,,,,
player,201012050min,buf,McInCo00,def_int,0,,,,,
player,201012050min,buf,McInCo00,def_int_yds,0,,,,,
player,201012050min,buf,McInCo00,def_int_td,0,,,,,
player,201012050min,buf,McInCo00,def_int_long,0,,,,,
player,201012050min,buf,McInCo00,pass_defended,0,,,,,
player,201012050min,buf,McInCo00,sacks,0.0,,,,,
player,201012050min,buf,McInCo00,tackles_combined,1,,,,,
player,201012050min,buf,McInCo00,tackles_solo,1,,,,,
player,201012050min,buf,McInCo00,tackles_assists,0,,,,,
player,201012050min,buf,McInCo00,tackles_loss,0,,,,,
player,201012050min,buf,McInCo00,qb_hits,0,,,,,
player,201012050min,buf,McInCo00,fumbles_rec,0,,,,,
player,201012050min,buf,McInCo00,fumbles_rec_yds,0,,,,,
player,201012050min,buf,McInCo00,fumbles_rec_td,0,,,,,
player,201012050min,buf,McInCo00,fumbles_forced,0,,,,,
player,201012050min,buf,RoosNa00,def_int,0,,,,,
player,201012050min,buf,RoosNa00,def_int_yds,0,,,,,
player,201012050min,buf,RoosNa00,def_int_td,0,,,,,
player,201012050min,buf,RoosNa00,def_int_long,0,,,,,
player,201012050min,buf,RoosNa00,pass_defended,0,,,,,
player,201012050min,buf,RoosNa00,sacks,0.0,,,,,
player,201012050min,buf,RoosNa00,tackles_combined,1,,,,,
player,201012050min,buf,RoosNa00,tackles_solo,1,,,,,
player,201012050min,buf,RoosNa00,tackles_assists,0,,,,,
player,201012050min,buf,RoosNa00,tackles_loss,0,,,,,
player,201012050min,buf,RoosNa00,qb_hits,0,,,,,
player,201012050min,buf,RoosNa00,fumbles_rec,0,,,,,
player,201012050min,buf,RoosNa00,fumbles_rec_yds,0,,,,,
player,201012050min,buf,RoosNa00,fumbles_rec_td,0,,,,,
player,201012050min,buf,RoosNa00,fumbles_forced,0,,,,,
player,201012050min,buf,ScotBr20,def_int,0,,,,,
player,201012050min,buf,ScotBr20,def_int_yds,0,,,,,
player,201012050min,buf,ScotBr20,def_int_td,0,,,,,
player,201012050min,buf,ScotBr20,def_int_long,0,,,,,
player,201012050min,buf,ScotBr20,pass_defended,0,,,,,
player,201012050min,buf,ScotBr20,sacks,0.0,,,,,
player,201012050min,buf,ScotBr20,tackles_combined,1,,,,,
player,201012050min,buf,ScotBr20,tackles_solo,1,,,,,
player,201012050min,buf,ScotBr20,tackles_assists,0,,,,,
player,201012050min,buf,ScotBr20,tackles_loss,0,,,,,
player,201012050min,buf,ScotBr20,qb_hits,0,,,,,
player,201012050min,buf,ScotBr20,fumbles_rec,0,,,,,
player,201012050min,buf,ScotBr20,fumbles_rec_yds,0,,,,,
player,201012050min,buf,ScotBr20,fumbles_rec_td,0,,,,,
player,201012050min,buf,ScotBr20,fumbles_forced,0,,,,,
player,201012050min,buf,StroMa01,def_int,0,,,,,
player,201012050min,buf,StroMa01,def_int_yds,0,,,,,
player,201012050min,buf,StroMa01,def_int_td,0,,,,,
player,201012050min,buf,StroMa01,def_int_long,0,,,,,
player,201012050min,buf,StroMa01,pass_defended,0,,,,,
player,201012050min,buf,StroMa01,sacks,0.0,,,,,
player,201012050min,buf,StroMa01,tackles_combined,1,,,,,
player,201012050min,buf,StroMa01,tackles_solo,0,,,,,
player,201012050min,buf,StroMa01,tackles_assists,1,,,,,
player,201012050min,buf,StroMa01,tackles_loss,0,,,,,
player,201012050min,buf,StroMa01,qb_hits,0,,,,,
player,201012050min,buf,StroMa01,fumbles_rec,0,,,,,
player,201012050min,buf,StroMa01,fumbles_rec_yds,0,,,,,
player,201012050min,buf,StroMa01,fumbles_rec_td,0,,,,,
player,201012050min,buf,StroMa01,fumbles_forced,0,,,,,
player,201012050min,buf,CarrAl99,def_int,0,,,,,
player,201012050min,buf,CarrAl99,def_int_yds,0,,,,,
player,201012050min,buf,CarrAl99,def_int_td,0,,,,,
player,201012050min,buf,CarrAl99,def_int_long,0,,,,,
player,201012050min,buf,CarrAl99,pass_defended,0,,,,,
player,201012050min,buf,CarrAl99,sacks,0.0,,,,,
player,201012050min,buf,CarrAl99,tackles_combined,0,,,,,
player,201012050min,buf,CarrAl99,tackles_solo,0,,,,,
player,201012050min,buf,CarrAl99,tackles_assists,0,,,,,
player,201012050min,buf,CarrAl99,tackles_loss,0,,,,,
player,201012050min,buf,CarrAl99,qb_hits,1,,,,,
player,201012050min,buf,CarrAl99,fumbles_rec,0,,,,,
player,201012050min,buf,CarrAl99,fumbles_rec_yds,0,,,,,
player,201012050min,buf,CarrAl99,fumbles_rec_td,0,,,,,
player,201012050min,buf,CarrAl99,fumbles_forced,0,,,,,
player,201012050min,min,WinfAn20,def_int,1,,,,,
player,201012050min,min,WinfAn20,def_int_yds,41,,,,,
player,201012050min,min,WinfAn20,def_int_td,0,,,,,
player,201012050min,min,WinfAn20,def_int_long,41,,,,,
player,201012050min,min,WinfAn20,pass_defended,1,,,,,
player,201012050min,min,WinfAn20,sacks,0.0,,,,,
player,201012050min,min,WinfAn20,tackles_combined,3,,,,,
player,201012050min,min,WinfAn20,tackles_solo,3,,,,,
player,201012050min,min,WinfAn20,tackles_assists,0,,,,,
player,201012050min,min,WinfAn20,tackles_loss,0,,,,,
player,201012050min,min,WinfAn20,qb_hits,0,,,,,
player,201012050min,min,WinfAn20,fumbles_rec,0,,,,,
player,201012050min,min,WinfAn20,fumbles_rec_yds,0,,,,,
player,201012050min,min,WinfAn20,fumbles_rec_td,0,,,,,
player,201012050min,min,WinfAn20,fumbles_forced,0,,,,,
player,201012050min,min,AlleJa22,def_int,0,,,,,
player,201012050min,min,AlleJa22,def_int_yds,0,,,,,
player,201012050min,min,AlleJa22,def_int_td,0,,,,,
player,201012050min,min,AlleJa22,def_int_long,0,,,,,
player,201012050min,min,AlleJa22,pass_defended,0,,,,,
player,201012050min,min,AlleJa22,sacks,1.0,,,,,
player,201012050min,min,AlleJa22,tackles_combined,5,,,,,
player,201012050min,min,AlleJa22,tackles_solo,3,,,,,
player,201012050min,min,AlleJa22,tackles_assists,2,,,,,
player,201012050min,min,AlleJa22,tackles_loss,1,,,,,
player,201012050min,min,AlleJa22,qb_hits,2,,,,,
player,201012050min,min,AlleJa22,fumbles_rec,0,,,,,
player,201012050min,min,AlleJa22,fumbles_rec_yds,0,,,,,
player,201012050min,min,AlleJa22,fumbles_rec_td,0,,,,,
player,201012050min,min,AlleJa22,fumbles_forced,1,,,,,
player,201012050min,min,AbduHu99,def_int,0,,,,,
player,201012050min,min,AbduHu99,def_int_yds,0,,,,,
player,201012050min,min,AbduHu99,def_int_td,0,,,,,
player,201012050min,min,AbduHu99,def_int_long,0,,,,,
player,201012050min,min,AbduHu99,pass_defended,0,,,,,
player,201012050min,min,AbduHu99,sacks,0.0,,,,,
player,201012050min,min,AbduHu99,tackles_combined,7,,,,,
player,201012050min,min,AbduHu99,tackles_solo,5,,,,,
player,201012050min,min,AbduHu99,tackles_assists,2,,,,,
player,201012050min,min,AbduHu99,tackles_loss,0,,,,,
player,201012050min,min,AbduHu99,qb_hits,0,,,,,
player,201012050min,min,AbduHu99,fumbles_rec,0,,,,,
player,201012050min,min,AbduHu99,fumbles_rec_yds,0,,,,,
player,201012050min,min,AbduHu99,fumbles_rec_td,0,,,,,
player,201012050min,min,AbduHu99,fumbles_forced,0,,,,,
player,201012050min,min,GreeCh99,def_int,0,,,,,
player,201012050min,min,GreeCh99,def_int_yds,0,,,,,
player,201012050min,min,GreeCh99,def_int_td,0,,,,,
player,201012050min,min,GreeCh99,def_int_long,0,,,,,
player,201012050min,min,GreeCh99,pass_defended,0,,,,,
player,201012050min,min,GreeCh99,sacks,0.0,,,,,
player,201012050min,min,GreeCh99,tackles_combined,7,,,,,
player,201012050min,min,GreeCh99,tackles_solo,6,,,,,
player,201012050min,min,GreeCh99,tackles_assists,1,,,,,
player,201012050min,min,GreeCh99,tackles_loss,0,,,,,
player,201012050min,min,GreeCh99,qb_hits,0,,,,,
player,201012050min,min,GreeCh99,fumbles_rec,0,,,,,
player,201012050min,min,GreeCh99,fumbles_rec_yds,0,,,,,
player,201012050min,min,GreeCh99,fumbles_rec_td,0,,,,,
player,201012050min,min,GreeCh99,fumbles_forced,0,,,,,
player,201012050min,min,HendE.20,def_int,0,,,,,
player,201012050min,min,HendE.20,def_int_yds,0,,,,,
player,201012050min,min,HendE.20,def_int_td,0,,,,,
player,201012050min,min,HendE.20,def_int_long,0,,,,,
player,201012050min,min,HendE.20,pass_defended,0,,,,,
player,201012050min,min,HendE.20,sacks,0.0,,,,,
player,201012050min,min,HendE.20,tackles_combined,5,,,,,
player,201012050min,min,HendE.20,tackles_solo,4,,,,,
player,201012050min,min,HendE.20,tackles_assists,1,,,,,
player,201012050min,min,HendE.20,tackles_loss,1,,,,,
player,201012050min,min,HendE.20,qb_hits,0,,,,,
player,201012050min,min,HendE.20,fumbles_rec,0,,,,,
player,201012050min,min,HendE.20,fumbles_rec_yds,0,,,,,
player,201012050min,min,HendE.20,fumbles_rec_td,0,,,,,
player,201012050min,min,HendE.20,fumbles_forced,0,,,,,
player,201012050min,min,BrinJa99,def_int,0,,,,,
player,201012050min,min,BrinJa99,def_int_yds,0,,,,,
player,201012050min,min,BrinJa99,def_int_td,0,,,,,
player,201012050min,min,BrinJa99,def_int_long,0,,,,,
player,201012050min,min,BrinJa99,pass_defended,0,,,,,
player,201012050min,min,BrinJa99,sacks,0.0,,,,,
player,201012050min,min,BrinJa99,tackles_combined,3,,,,,
player,201012050min,min,BrinJa99,tackles_solo,3,,,,,
player,201012050min,min,BrinJa99,tackles_assists,0,,,,,
player,201012050min,min,BrinJa99,tackles_loss,0,,,,,
player,201012050min,min,BrinJa99,qb_hits,0,,,,,
player,201012050min,min,BrinJa99,fumbles_rec,0,,,,,
player,201012050min,min,BrinJa99,fumbles_rec_yds,0,,,,,
player,201012050min,min,BrinJa99,fumbles_rec_td,0,,,,,
player,201012050min,min,BrinJa99,fumbles_forced,0,,,,,
player,201012050min,min,RobiBr98,def_int,0,,,,,
player,201012050min,min,RobiBr98,def_int_yds,0,,,,,
player,201012050min,min,RobiBr98,def_int_td,0,,,,,
player,201012050min,min,RobiBr98,def_int_long,0,,,,,
player,201012050min,min,RobiBr98,pass_defended,0,,,,,
player,201012050min,min,RobiBr98,sacks,0.0,,,,,
player,201012050min,min,RobiBr98,tackles_combined,3,,,,,
player,201012050min,min,RobiBr98,tackles_solo,1,,,,,
player,201012050min,min,RobiBr98,tackles_assists,2,,,,,
player,201012050min,min,RobiBr98,tackles_loss,0,,,,,
player,201012050min,min,RobiBr98,qb_hits,2,,,,,
player,201012050min,min,RobiBr98,fumbles_rec,2,,,,,
player,201012050min,min,RobiBr98,fumbles_rec_yds,0,,,,,
player,201012050min,min,RobiBr98,fumbles_rec_td,0,,,,,
player,201012050min,min,RobiBr98,fumbles_forced,0,,,,,
player,201012050min,min,WillKe98,def_int,0,,,,,
player,201012050min,min,WillKe98,def_int_yds,0,,,,,
player,201012050min,min,WillKe98,def_int_td,0,,,,,
player,201012050min,min,WillKe98,def_int_long,0,,,,,
player,201012050min,min,WillKe98,pass_defended,0,,,,,
player,201012050min,min,WillKe98,sacks,0.0,,,,,
player,201012050min,min,WillKe98,tackles_combined,3,,,,,
player,201012050min,min,WillKe98,tackles_solo,3,,,,,
player,201012050min,min,WillKe98,tackles_assists,0,,,,,
player,201012050min,min,WillKe98,tackles_loss,2,,,,,
player,201012050min,min,WillKe98,qb_hits,2,,,,,
player,201012050min,min,WillKe98,fumbles_rec,0,,,,,
player,201012050min,min,WillKe98,fumbles_rec_yds,0,,,,,
player,201012050min,min,WillKe98,fumbles_rec_td,0,,,,,
player,201012050min,min,WillKe98,fumbles_forced,0,,,,,
player,201012050min,min,WillMa20,def_int,0,,,,,
player,201012050min,min,WillMa20,def_int_yds,0,,,,,
player,201012050min,min,WillMa20,def_int_td,0,,,,,
player,201012050min,min,WillMa20,def_int_long,0,,,,,
player,201012050min,min,WillMa20,pass_defended,0,,,,,
player,201012050min,min,WillMa20,sacks,0.0,,,,,
player,201012050min,min,WillMa20,tackles_combined,3,,,,,
player,201012050min,min,WillMa20,tackles_solo,2,,,,,
player,201012050min,min,WillMa20,tackles_assists,1,,,,,
player,201012050min,min,WillMa20,tackles_loss,0,,,,,
player,201012050min,min,WillMa20,qb_hits,0,,,,,
player,201012050min,min,WillMa20,fumbles_rec,0,,,,,
player,201012050min,min,WillMa20,fumbles_rec_yds,0,,,,,
player,201012050min,min,WillMa20,fumbles_rec_td,0,,,,,
player,201012050min,min,WillMa20,fumbles_forced,0,,,,,
player,201012050min,min,FramEr99,def_int,0,,,,,
player,201012050min,min,FramEr99,def_int_yds,0,,,,,
player,201012050min,min,FramEr99,def_int_td,0,,,,,
player,201012050min,min,FramEr99,def_int_long,0,,,,,
player,201012050min,min,FramEr99,pass_defended,0,,,,,
player,201012050min,min,FramEr99,sacks,0.0,,,,,
player,201012050min,min,FramEr99,tackles_combined,2,,,,,
player,201012050min,min,FramEr99,tackles_solo,2,,,,,
player,201012050min,min,FramEr99,tackles_assists,0,,,,,
player,201012050min,min,FramEr99,tackles_loss,0,,,,,
player,201012050min,min,FramEr99,qb_hits,0,,,,,
player,201012050min,min,FramEr99,fumbles_rec,0,,,,,
player,201012050min,min,FramEr99,fumbles_rec_yds,0,,,,,
player,201012050min,min,FramEr99,fumbles_rec_td,0,,,,,
player,201012050min,min,FramEr99,fumbles_forced,0,,,,,
player,201012050min,min,LebeBe20,def_int,0,,,,,
player,201012050min,min,LebeBe20,def_int_yds,0,,,,,
player,201012050min,min,LebeBe20,def_int_td,0,,,,,
player,201012050min,min,LebeBe20,def_int_long,0,,,,,
player,201012050min,min,LebeBe20,pass_defended,0,,,,,
player,201012050min,min,LebeBe20,sacks,0.0,,,,,
player,201012050min,min,LebeBe20,tackles_combined,2,,,,,
player,201012050min,min,LebeBe20,tackles_solo,2,,,,,
player,201012050min,min,LebeBe20,tackles_assists,0,,,,,
player,201012050min,min,LebeBe20,tackles_loss,0,,,,,
player,201012050min,min,LebeBe20,qb_hits,0,,,,,
player,201012050min,min,LebeBe20,fumbles_rec,1,,,,,
player,201012050min,min,LebeBe20,fumbles_rec_yds,0,,,,,
player,201012050min,min,LebeBe20,fumbles_rec_td,0,,,,,
player,201012050min,min,LebeBe20,fumbles_forced,1,,,,,
player,201012050min,min,AlleAs99,def_int,0,,,,,
player,201012050min,min,AlleAs99,def_int_yds,0,,,,,
player,201012050min,min,AlleAs99,def_int_td,0,,,,,
player,201012050min,min,AlleAs99,def_int_long,0,,,,,
player,201012050min,min,AlleAs99,pass_defended,1,,,,,
player,201012050min,min,AlleAs99,sacks,0.0,,,,,
player,201012050min,min,AlleAs99,tackles_combined,1,,,,,
player,201012050min,min,AlleAs99,tackles_solo,1,,,,,
player,201012050min,min,AlleAs99,tackles_assists,0,,,,,
player,201012050min,min,AlleAs99,tackles_loss,0,,,,,
player,201012050min,min,AlleAs99,qb_hits,0,,,,,
player,201012050min,min,AlleAs99,fumbles_rec,0,,,,,
player,201012050min,min,AlleAs99,fumbles_rec_yds,0,,,,,
player,201012050min,min,AlleAs99,fumbles_rec_td,0,,,,,
player,201012050min,min,AlleAs99,fumbles_forced,0,,,,,
player,201012050min,min,FarwHe20,def_int,0,,,,,
player,201012050min,min,FarwHe20,def_int_yds,0,,,,,
player,201012050min,min,FarwHe20,def_int_td,0,,,,,
player,201012050min,min,FarwHe20,def_int_long,0,,,,,
player,201012050min,min,FarwHe20,pass_defended,0,,,,,
player,201012050min,min,FarwHe20,sacks,0.0,,,,,
player,201012050min,min,FarwHe20,tackles_combined,1,,,,,
player,201012050min,min,FarwHe20,tackles_solo,1,,,,,
player,201012050min,min,FarwHe20,tackles_assists,0,,,,,
player,201012050min,min,FarwHe20,tackles_loss,0,,,,,
player,201012050min,min,FarwHe20,qb_hits,0,,,,,
player,201012050min,min,FarwHe20,fumbles_rec,0,,,,,
player,201012050min,min,FarwHe20,fumbles_rec_yds,0,,,,,
player,201012050min,min,FarwHe20,fumbles_rec_td,0,,,,,
player,201012050min,min,FarwHe20,fumbles_forced,0,,,,,
player,201012050min,min,GuioLe99,def_int,0,,,,,
player,201012050min,min,GuioLe99,def_int_yds,0,,,,,
player,201012050min,min,GuioLe99,def_int_td,0,,,,,
player,201012050min,min,GuioLe99,def_int_long,0,,,,,
player,201012050min,min,GuioLe99,pass_defended,0,,,,,
player,201012050min,min,GuioLe99,sacks,0.0,,,,,
player,201012050min,min,GuioLe99,tackles_combined,1,,,,,
player,201012050min,min,GuioLe99,tackles_solo,1,,,,,
player,201012050min,min,GuioLe99,tackles_assists,0,,,,,
player,201012050min,min,GuioLe99,tackles_loss,0,,,,,
player,201012050min,min,GuioLe99,qb_hits,0,,,,,
player,201012050min,min,GuioLe99,fumbles_rec,0,,,,,
player,201012050min,min,GuioLe99,fumbles_rec_yds,0,,,,,
player,201012050min,min,GuioLe99,fumbles_rec_td,0,,,,,
player,201012050min,min,GuioLe99,fumbles_forced,0,,,,,
player,201012050min,min,KennJi21,def_int,0,,,,,
player,201012050min,min,KennJi21,def_int_yds,0,,,,,
player,201012050min,min,KennJi21,def_int_td,0,,,,,
player,201012050min,min,KennJi21,def_int_long,0,,,,,
player,201012050min,min,KennJi21,pass_defended,0,,,,,
player,201012050min,min,KennJi21,sacks,0.0,,,,,
player,201012050min,min,KennJi21,tackles_combined,1,,,,,
player,201012050min,min,KennJi21,tackles_solo,1,,,,,
player,201012050min,min,KennJi21,tackles_assists,0,,,,,
player,201012050min,min,KennJi21,tackles_loss,0,,,,,
player,201012050min,min,KennJi21,qb_hits,0,,,,,
player,201012050min,min,KennJi21,fumbles_rec,0,,,,,
player,201012050min,min,KennJi21,fumbles_rec_yds,0,,,,,
player,201012050min,min,KennJi21,fumbles_rec_td,0,,,,,
player,201012050min,min,KennJi21,fumbles_forced,0,,,,,
player,201012050min,min,OnatKe00,def_int,0,,,,,
player,201012050min,min,OnatKe00,def_int_yds,0,,,,,
player,201012050min,min,OnatKe00,def_int_td,0,,,,,
player,201012050min,min,OnatKe00,def_int_long,0,,,,,
player,201012050min,min,OnatKe00,pass_defended,0,,,,,
player,201012050min,min,OnatKe00,sacks,0.0,,,,,
player,201012050min,min,OnatKe00,tackles_combined,1,,,,,
player,201012050min,min,OnatKe00,tackles_solo,1,,,,,
player,201012050min,min,OnatKe00,tackles_assists,0,,,,,
player,201012050min,min,OnatKe00,tackles_loss,0,,,,,
player,201012050min,min,OnatKe00,qb_hits,0,,,,,
player,201012050min,min,OnatKe00,fumbles_rec,0,,,,,
player,201012050min,min,OnatKe00,fumbles_rec_yds,0,,,,,
player,201012050min,min,OnatKe00,fumbles_rec_td,0,,,,,
player,201012050min,min,OnatKe00,fumbles_forced,0,,,,,
player,201012050min,min,ShepLi99,def_int,0,,,,,
player,201012050min,min,ShepLi99,def_int_yds,0,,,,,
player,201012050min,min,ShepLi99,def_int_td,0,,,,,
player,201012050min,min,ShepLi99,def_int_long,0,,,,,
player,201012050min,min,ShepLi99,pass_defended,0,,,,,
player,201012050min,min,ShepLi99,sacks,0.0,,,,,
player,201012050min,min,ShepLi99,tackles_combined,1,,,,,
player,201012050min,min,ShepLi99,tackles_solo,1,,,,,
player,201012050min,min,ShepLi99,tackles_assists,0,,,,,
player,201012050min,min,ShepLi99,tackles_loss,0,,,,,
player,201012050min,min,ShepLi99,qb_hits,0,,,,,
player,201012050min,min,ShepLi99,fumbles_rec,0,,,,,
player,201012050min,min,ShepLi99,fumbles_rec_yds,0,,,,,
player,201012050min,min,ShepLi99,fumbles_rec_td,0,,,,,
player,201012050min,min,ShepLi99,fumbles_forced,0,,,,,
player,201012050min,min,WalkFr20,def_int,0,,,,,
player,201012050min,min,WalkFr20,def_int_yds,0,,,,,
player,201012050min,min,WalkFr20,def_int_td,0,,,,,
player,201012050min,min,WalkFr20,def_int_long,0,,,,,
player,201012050min,min,WalkFr20,pass_defended,1,,,,,
player,201012050min,min,WalkFr20,sacks,0.0,,,,,
player,201012050min,min,WalkFr20,tackles_combined,1,,,,,
player,201012050min,min,WalkFr20,tackles_solo,0,,,,,
player,201012050min,min,WalkFr20,tackles_assists,1,,,,,
player,201012050min,min,WalkFr20,tackles_loss,0,,,,,
