game,2010,14,20101212,201012120crd,den,"Denver Broncos",13,crd,"Arizona Cardinals",43
player,201012120crd,crd,WrigJa01,rush_att,0,,,,,
player,201012120crd,crd,WrigJa01,rush_yds,0,,,,,
player,201012120crd,crd,WrigJa01,rush_td,0,,,,,
player,201012120crd,crd,WrigJa01,rush_long,0,,,,,
player,201012120crd,crd,WrigJa01,targets,2,,,,,
player,201012120crd,crd,WrigJa01,rec,1,,,,,
player,201012120crd,crd,WrigJa01,rec_yds,7,,,,,
player,201012120crd,crd,WrigJa01,rec_td,0,,,,,
player,201012120crd,crd,WrigJa01,rec_long,7,,,,,
player,201012120crd,crd,WrigJa01,fumbles,0,,,,,
player,201012120crd,crd,WrigJa01,fumbles_lost,,,,,,
player,201012120crd,crd,RobeAn00,pass_cmp,0,,,,,
player,201012120crd,crd,RobeAn00,pass_att,0,,,,,
player,201012120crd,crd,RobeAn00,pass_yds,0,,,,,
player,201012120crd,crd,RobeAn00,pass_td,0,,,,,
player,201012120crd,crd,RobeAn00,pass_int,0,,,,,
player,201012120crd,crd,RobeAn00,pass_sacked,0,,,,,
player,201012120crd,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201012120crd,crd,RobeAn00,pass_long,0,,,,,
player,201012120crd,crd,RobeAn00,pass_rating,,,,,,
player,201012120crd,crd,RobeAn00,rush_att,0,,,,,
player,201012120crd,crd,RobeAn00,rush_yds,0,,,,,
player,201012120crd,crd,RobeAn00,rush_td,0,,,,,
player,201012120crd,crd,RobeAn00,rush_long,0,,,,,
player,201012120crd,crd,RobeAn00,targets,2,,,,,
player,201012120crd,crd,RobeAn00,rec,1,,,,,
player,201012120crd,crd,RobeAn00,rec_yds,5,,,,,
player,201012120crd,crd,RobeAn00,rec_td,0,,,,,
player,201012120crd,crd,RobeAn00,rec_long,5,,,,,
player,201012120crd,crd,RobeAn00,fumbles,0,,,,,
player,201012120crd,crd,RobeAn00,fumbles_lost,,,,,,
player,201012120crd,crd,DrayJi00,pass_cmp,0,,,,,
player,201012120crd,crd,DrayJi00,pass_att,0,,,,,
player,201012120crd,crd,DrayJi00,pass_yds,0,,,,,
player,201012120crd,crd,DrayJi00,pass_td,0,,,,,
