game,2010,16,20101226,201012260den,htx,"Houston Texans",23,den,"Denver Broncos",24
player,201012260den,htx,AlleJa23,def_int_long,0,,,,,
player,201012260den,htx,AlleJa23,pass_defended,2,,,,,
player,201012260den,htx,AlleJa23,sacks,0.0,,,,,
player,201012260den,htx,AlleJa23,tackles_combined,4,,,,,
player,201012260den,htx,AlleJa23,tackles_solo,3,,,,,
player,201012260den,htx,AlleJa23,tackles_assists,1,,,,,
player,201012260den,htx,AlleJa23,tackles_loss,0,,,,,
player,201012260den,htx,AlleJa23,qb_hits,0,,,,,
player,201012260den,htx,AlleJa23,fumbles_rec,0,,,,,
player,201012260den,htx,AlleJa23,fumbles_rec_yds,0,,,,,
player,201012260den,htx,AlleJa23,fumbles_rec_td,0,,,,,
player,201012260den,htx,AlleJa23,fumbles_forced,0,,,,,
player,201012260den,htx,JamiTi99,def_int,0,,,,,
player,201012260den,htx,JamiTi99,def_int_yds,0,,,,,
player,201012260den,htx,JamiTi99,def_int_td,0,,,,,
player,201012260den,htx,JamiTi99,def_int_long,0,,,,,
player,201012260den,htx,JamiTi99,pass_defended,0,,,,,
player,201012260den,htx,JamiTi99,sacks,1.0,,,,,
player,201012260den,htx,JamiTi99,tackles_combined,3,,,,,
player,201012260den,htx,JamiTi99,tackles_solo,3,,,,,
player,201012260den,htx,JamiTi99,tackles_assists,0,,,,,
player,201012260den,htx,JamiTi99,tackles_loss,1,,,,,
player,201012260den,htx,JamiTi99,qb_hits,1,,,,,
player,201012260den,htx,JamiTi99,fumbles_rec,0,,,,,
player,201012260den,htx,JamiTi99,fumbles_rec_yds,0,,,,,
player,201012260den,htx,JamiTi99,fumbles_rec_td,0,,,,,
player,201012260den,htx,JamiTi99,fumbles_forced,0,,,,,
player,201012260den,htx,PollBe20,def_int,0,,,,,
player,201012260den,htx,PollBe20,def_int_yds,0,,,,,
player,201012260den,htx,PollBe20,def_int_td,0,,,,,
player,201012260den,htx,PollBe20,def_int_long,0,,,,,
player,201012260den,htx,PollBe20,pass_defended,0,,,,,
player,201012260den,htx,PollBe20,sacks,0.0,,,,,
player,201012260den,htx,PollBe20,tackles_combined,8,,,,,
player,201012260den,htx,PollBe20,tackles_solo,7,,,,,
player,201012260den,htx,PollBe20,tackles_assists,1,,,,,
player,201012260den,htx,PollBe20,tackles_loss,0,,,,,
player,201012260den,htx,PollBe20,qb_hits,0,,,,,
player,201012260den,htx,PollBe20,fumbles_rec,0,,,,,
player,201012260den,htx,PollBe20,fumbles_rec_yds,0,,,,,
player,201012260den,htx,PollBe20,fumbles_rec_td,0,,,,,
player,201012260den,htx,PollBe20,fumbles_forced,1,,,,,
player,201012260den,htx,QuinGl99,def_int,0,,,,,
player,201012260den,htx,QuinGl99,def_int_yds,0,,,,,
player,201012260den,htx,QuinGl99,def_int_td,0,,,,,
player,201012260den,htx,QuinGl99,def_int_long,0,,,,,
player,201012260den,htx,QuinGl99,pass_defended,0,,,,,
player,201012260den,htx,QuinGl99,sacks,0.0,,,,,
player,201012260den,htx,QuinGl99,tackles_combined,8,,,,,
player,201012260den,htx,QuinGl99,tackles_solo,8,,,,,
player,201012260den,htx,QuinGl99,tackles_assists,0,,,,,
player,201012260den,htx,QuinGl99,tackles_loss,0,,,,,
player,201012260den,htx,QuinGl99,qb_hits,0,,,,,
player,201012260den,htx,QuinGl99,fumbles_rec,0,,,,,
player,201012260den,htx,QuinGl99,fumbles_rec_yds,0,,,,,
player,201012260den,htx,QuinGl99,fumbles_rec_td,0,,,,,
player,201012260den,htx,QuinGl99,fumbles_forced,0,,,,,
player,201012260den,htx,NolaTr99,def_int,0,,,,,
player,201012260den,htx,NolaTr99,def_int_yds,0,,,,,
player,201012260den,htx,NolaTr99,def_int_td,0,,,,,
player,201012260den,htx,NolaTr99,def_int_long,0,,,,,
player,201012260den,htx,NolaTr99,pass_defended,0,,,,,
player,201012260den,htx,NolaTr99,sacks,0.0,,,,,
player,201012260den,htx,NolaTr99,tackles_combined,7,,,,,
player,201012260den,htx,NolaTr99,tackles_solo,5,,,,,
player,201012260den,htx,NolaTr99,tackles_assists,2,,,,,
player,201012260den,htx,NolaTr99,tackles_loss,0,,,,,
player,201012260den,htx,NolaTr99,qb_hits,0,,,,,
player,201012260den,htx,NolaTr99,fumbles_rec,0,,,,,
player,201012260den,htx,NolaTr99,fumbles_rec_yds,0,,,,,
player,201012260den,htx,NolaTr99,fumbles_rec_td,0,,,,,
player,201012260den,htx,NolaTr99,fumbles_forced,0,,,,,
player,201012260den,htx,CushBr99,def_int,0,,,,,
player,201012260den,htx,CushBr99,def_int_yds,0,,,,,
player,201012260den,htx,CushBr99,def_int_td,0,,,,,
player,201012260den,htx,CushBr99,def_int_long,0,,,,,
player,201012260den,htx,CushBr99,pass_defended,0,,,,,
player,201012260den,htx,CushBr99,sacks,0.0,,,,,
player,201012260den,htx,CushBr99,tackles_combined,5,,,,,
player,201012260den,htx,CushBr99,tackles_solo,2,,,,,
player,201012260den,htx,CushBr99,tackles_assists,3,,,,,
player,201012260den,htx,CushBr99,tackles_loss,0,,,,,
player,201012260den,htx,CushBr99,qb_hits,0,,,,,
player,201012260den,htx,CushBr99,fumbles_rec,0,,,,,
player,201012260den,htx,CushBr99,fumbles_rec_yds,0,,,,,
player,201012260den,htx,CushBr99,fumbles_rec_td,0,,,,,
player,201012260den,htx,CushBr99,fumbles_forced,0,,,,,
player,201012260den,htx,SharDa01,def_int,0,,,,,
player,201012260den,htx,SharDa01,def_int_yds,0,,,,,
player,201012260den,htx,SharDa01,def_int_td,0,,,,,
player,201012260den,htx,SharDa01,def_int_long,0,,,,,
player,201012260den,htx,SharDa01,pass_defended,0,,,,,
player,201012260den,htx,SharDa01,sacks,0.0,,,,,
player,201012260den,htx,SharDa01,tackles_combined,5,,,,,
player,201012260den,htx,SharDa01,tackles_solo,4,,,,,
player,201012260den,htx,SharDa01,tackles_assists,1,,,,,
player,201012260den,htx,SharDa01,tackles_loss,1,,,,,
player,201012260den,htx,SharDa01,qb_hits,0,,,,,
player,201012260den,htx,SharDa01,fumbles_rec,0,,,,,
player,201012260den,htx,SharDa01,fumbles_rec_yds,0,,,,,
player,201012260den,htx,SharDa01,fumbles_rec_td,0,,,,,
player,201012260den,htx,SharDa01,fumbles_forced,0,,,,,
player,201012260den,htx,LewiDa20,def_int,0,,,,,
player,201012260den,htx,LewiDa20,def_int_yds,0,,,,,
player,201012260den,htx,LewiDa20,def_int_td,0,,,,,
player,201012260den,htx,LewiDa20,def_int_long,0,,,,,
player,201012260den,htx,LewiDa20,pass_defended,0,,,,,
player,201012260den,htx,LewiDa20,sacks,0.0,,,,,
player,201012260den,htx,LewiDa20,tackles_combined,3,,,,,
player,201012260den,htx,LewiDa20,tackles_solo,2,,,,,
player,201012260den,htx,LewiDa20,tackles_assists,1,,,,,
player,201012260den,htx,LewiDa20,tackles_loss,0,,,,,
player,201012260den,htx,LewiDa20,qb_hits,0,,,,,
player,201012260den,htx,LewiDa20,fumbles_rec,0,,,,,
player,201012260den,htx,LewiDa20,fumbles_rec_yds,0,,,,,
player,201012260den,htx,LewiDa20,fumbles_rec_td,0,,,,,
player,201012260den,htx,LewiDa20,fumbles_forced,0,,,,,
player,201012260den,htx,AndeMa21,def_int,0,,,,,
player,201012260den,htx,AndeMa21,def_int_yds,0,,,,,
player,201012260den,htx,AndeMa21,def_int_td,0,,,,,
player,201012260den,htx,AndeMa21,def_int_long,0,,,,,
player,201012260den,htx,AndeMa21,pass_defended,0,,,,,
player,201012260den,htx,AndeMa21,sacks,0.0,,,,,
player,201012260den,htx,AndeMa21,tackles_combined,2,,,,,
player,201012260den,htx,AndeMa21,tackles_solo,2,,,,,
