game,2010,11,20101121,201011210jax,cle,"Cleveland Browns",20,jax,"Jacksonville Jaguars",24
player,201011210jax,cle,RoyaRo00,rec_td,0,,,,,
player,201011210jax,cle,RoyaRo00,rec_long,,,,,,
player,201011210jax,cle,RoyaRo00,fumbles,,,,,,
player,201011210jax,cle,RoyaRo00,fumbles_lost,,,,,,
player,201011210jax,cle,RobiBr00,pass_cmp,,,,,,
player,201011210jax,cle,RobiBr00,pass_att,,,,,,
player,201011210jax,cle,RobiBr00,pass_yds,,,,,,
player,201011210jax,cle,RobiBr00,pass_td,,,,,,
player,201011210jax,cle,RobiBr00,pass_int,,,,,,
player,201011210jax,cle,RobiBr00,pass_sacked,,,,,,
player,201011210jax,cle,RobiBr00,pass_sacked_yds,,,,,,
player,201011210jax,cle,RobiBr00,pass_long,,,,,,
player,201011210jax,cle,RobiBr00,pass_rating,,,,,,
player,201011210jax,cle,RobiBr00,rush_att,,,,,,
player,201011210jax,cle,RobiBr00,rush_yds,,,,,,
player,201011210jax,cle,RobiBr00,rush_td,,,,,,
player,201011210jax,cle,RobiBr00,rush_long,,,,,,
player,201011210jax,cle,RobiBr00,targets,1,,,,,
player,201011210jax,cle,RobiBr00,rec,0,,,,,
player,201011210jax,cle,RobiBr00,rec_yds,0,,,,,
player,201011210jax,cle,RobiBr00,rec_td,0,,,,,
player,201011210jax,cle,RobiBr00,rec_long,,,,,,
player,201011210jax,cle,RobiBr00,fumbles,,,,,,
player,201011210jax,cle,RobiBr00,fumbles_lost,,,,,,
player,201011210jax,cle,WatsBe00,pass_cmp,,,,,,
player,201011210jax,cle,WatsBe00,pass_att,,,,,,
player,201011210jax,cle,WatsBe00,pass_yds,,,,,,
player,201011210jax,cle,WatsBe00,pass_td,,,,,,
player,201011210jax,cle,WatsBe00,pass_int,,,,,,
player,201011210jax,cle,WatsBe00,pass_sacked,,,,,,
player,201011210jax,cle,WatsBe00,pass_sacked_yds,,,,,,
player,201011210jax,cle,WatsBe00,pass_long,,,,,,
player,201011210jax,cle,WatsBe00,pass_rating,,,,,,
player,201011210jax,cle,WatsBe00,rush_att,,,,,,
player,201011210jax,cle,WatsBe00,rush_yds,,,,,,
player,201011210jax,cle,WatsBe00,rush_td,,,,,,
player,201011210jax,cle,WatsBe00,rush_long,,,,,,
player,201011210jax,cle,WatsBe00,targets,1,,,,,
player,201011210jax,cle,WatsBe00,rec,0,,,,,
player,201011210jax,cle,WatsBe00,rec_yds,0,,,,,
player,201011210jax,cle,WatsBe00,rec_td,0,,,,,
player,201011210jax,cle,WatsBe00,rec_long,,,,,,
player,201011210jax,cle,WatsBe00,fumbles,,,,,,
