game,2010,11,20101121,201011210sfo,tam,"Tampa Bay Buccaneers",21,sfo,"San Francisco 49ers",0
player,201011210sfo,tam,BiggE.99,def_int_td,0,,,,,
player,201011210sfo,tam,BiggE.99,def_int_long,0,,,,,
player,201011210sfo,tam,BiggE.99,pass_defended,0,,,,,
player,201011210sfo,tam,BiggE.99,sacks,0.0,,,,,
player,201011210sfo,tam,BiggE.99,tackles_combined,4,,,,,
player,201011210sfo,tam,BiggE.99,tackles_solo,3,,,,,
player,201011210sfo,tam,BiggE.99,tackles_assists,1,,,,,
player,201011210sfo,tam,BiggE.99,tackles_loss,0,,,,,
player,201011210sfo,tam,BiggE.99,qb_hits,0,,,,,
player,201011210sfo,tam,BiggE.99,fumbles_rec,0,,,,,
player,201011210sfo,tam,BiggE.99,fumbles_rec_yds,0,,,,,
player,201011210sfo,tam,BiggE.99,fumbles_rec_td,0,,,,,
player,201011210sfo,tam,BiggE.99,fumbles_forced,0,,,,,
player,201011210sfo,tam,JoneSe20,def_int,0,,,,,
player,201011210sfo,tam,JoneSe20,def_int_yds,0,,,,,
player,201011210sfo,tam,JoneSe20,def_int_td,0,,,,,
player,201011210sfo,tam,JoneSe20,def_int_long,0,,,,,
player,201011210sfo,tam,JoneSe20,pass_defended,1,,,,,
player,201011210sfo,tam,JoneSe20,sacks,0.0,,,,,
player,201011210sfo,tam,JoneSe20,tackles_combined,4,,,,,
player,201011210sfo,tam,JoneSe20,tackles_solo,3,,,,,
player,201011210sfo,tam,JoneSe20,tackles_assists,1,,,,,
player,201011210sfo,tam,JoneSe20,tackles_loss,0,,,,,
player,201011210sfo,tam,JoneSe20,qb_hits,0,,,,,
player,201011210sfo,tam,JoneSe20,fumbles_rec,0,,,,,
player,201011210sfo,tam,JoneSe20,fumbles_rec_yds,0,,,,,
player,201011210sfo,tam,JoneSe20,fumbles_rec_td,0,,,,,
player,201011210sfo,tam,JoneSe20,fumbles_forced,0,,,,,
player,201011210sfo,tam,RuudBa20,def_int,0,,,,,
player,201011210sfo,tam,RuudBa20,def_int_yds,0,,,,,
player,201011210sfo,tam,RuudBa20,def_int_td,0,,,,,
player,201011210sfo,tam,RuudBa20,def_int_long,0,,,,,
player,201011210sfo,tam,RuudBa20,pass_defended,1,,,,,
player,201011210sfo,tam,RuudBa20,sacks,0.0,,,,,
player,201011210sfo,tam,RuudBa20,tackles_combined,4,,,,,
player,201011210sfo,tam,RuudBa20,tackles_solo,4,,,,,
player,201011210sfo,tam,RuudBa20,tackles_assists,0,,,,,
