game,2010,1,20100912,201009120oti,rai,"Oakland Raiders",13,oti,"Tennessee Titans",38
player,201009120oti,rai,ReecMa00,rush_yds,0,,,,,
player,201009120oti,rai,ReecMa00,rush_td,0,,,,,
player,201009120oti,rai,ReecMa00,rush_long,0,,,,,
player,201009120oti,rai,ReecMa00,targets,1,,,,,
player,201009120oti,rai,ReecMa00,rec,0,,,,,
player,201009120oti,rai,ReecMa00,rec_yds,0,,,,,
player,201009120oti,rai,ReecMa00,rec_td,0,,,,,
player,201009120oti,rai,ReecMa00,rec_long,0,,,,,
player,201009120oti,rai,ReecMa00,fumbles,0,,,,,
player,201009120oti,rai,ReecMa00,fumbles_lost,,,,,,
player,201009120oti,oti,YounVi00,pass_cmp,13,,,,,
player,201009120oti,oti,YounVi00,pass_att,17,,,,,
player,201009120oti,oti,YounVi00,pass_yds,154,,,,,
player,201009120oti,oti,YounVi00,pass_td,2,,,,,
player,201009120oti,oti,YounVi00,pass_int,0,,,,,
player,201009120oti,oti,YounVi00,pass_sacked,2,,,,,
player,201009120oti,oti,YounVi00,pass_sacked_yds,14,,,,,
player,201009120oti,oti,YounVi00,pass_long,56,,,,,
player,201009120oti,oti,YounVi00,pass_rating,142.8,,,,,
player,201009120oti,oti,YounVi00,rush_att,7,,,,,
player,201009120oti,oti,YounVi00,rush_yds,30,,,,,
player,201009120oti,oti,YounVi00,rush_td,0,,,,,
player,201009120oti,oti,YounVi00,rush_long,20,,,,,
player,201009120oti,oti,YounVi00,targets,0,,,,,
player,201009120oti,oti,YounVi00,rec,0,,,,,
player,201009120oti,oti,YounVi00,rec_yds,0,,,,,
player,201009120oti,oti,YounVi00,rec_td,0,,,,,
player,201009120oti,oti,YounVi00,rec_long,0,,,,,
player,201009120oti,oti,YounVi00,fumbles,1,,,,,
player,201009120oti,oti,YounVi00,fumbles_lost,1,,,,,
player,201009120oti,oti,JohnCh04,pass_cmp,0,,,,,
player,201009120oti,oti,JohnCh04,pass_att,0,,,,,
player,201009120oti,oti,JohnCh04,pass_yds,0,,,,,
player,201009120oti,oti,JohnCh04,pass_td,0,,,,,
player,201009120oti,oti,JohnCh04,pass_int,0,,,,,
player,201009120oti,oti,JohnCh04,pass_sacked,,,,,,
player,201009120oti,oti,JohnCh04,pass_sacked_yds,,,,,,
player,201009120oti,oti,JohnCh04,pass_long,0,,,,,
player,201009120oti,oti,JohnCh04,pass_rating,,,,,,
player,201009120oti,oti,JohnCh04,rush_att,27,,,,,
player,201009120oti,oti,JohnCh04,rush_yds,142,,,,,
player,201009120oti,oti,JohnCh04,rush_td,2,,,,,
player,201009120oti,oti,JohnCh04,rush_long,76,,,,,
player,201009120oti,oti,JohnCh04,targets,4,,,,,
player,201009120oti,oti,JohnCh04,rec,4,,,,,
player,201009120oti,oti,JohnCh04,rec_yds,8,,,,,
player,201009120oti,oti,JohnCh04,rec_td,0,,,,,
player,201009120oti,oti,JohnCh04,rec_long,5,,,,,
player,201009120oti,oti,JohnCh04,fumbles,0,,,,,
player,201009120oti,oti,JohnCh04,fumbles_lost,,,,,,
player,201009120oti,oti,RingJa00,pass_cmp,0,,,,,
player,201009120oti,oti,RingJa00,pass_att,0,,,,,
player,201009120oti,oti,RingJa00,pass_yds,0,,,,,
player,201009120oti,oti,RingJa00,pass_td,0,,,,,
player,201009120oti,oti,RingJa00,pass_int,0,,,,,
player,201009120oti,oti,RingJa00,pass_sacked,,,,,,
player,201009120oti,oti,RingJa00,pass_sacked_yds,,,,,,
player,201009120oti,oti,RingJa00,pass_long,0,,,,,
player,201009120oti,oti,RingJa00,pass_rating,,,,,,
player,201009120oti,oti,RingJa00,rush_att,5,,,,,
player,201009120oti,oti,RingJa00,rush_yds,33,,,,,
player,201009120oti,oti,RingJa00,rush_td,1,,,,,
player,201009120oti,oti,RingJa00,rush_long,15,,,,,
player,201009120oti,oti,RingJa00,targets,0,,,,,
player,201009120oti,oti,RingJa00,rec,0,,,,,
player,201009120oti,oti,RingJa00,rec_yds,0,,,,,
player,201009120oti,oti,RingJa00,rec_td,0,,,,,
player,201009120oti,oti,RingJa00,rec_long,0,,,,,
player,201009120oti,oti,RingJa00,fumbles,0,,,,,
player,201009120oti,oti,RingJa00,fumbles_lost,,,,,,
player,201009120oti,oti,WashNa00,pass_cmp,0,,,,,
player,201009120oti,oti,WashNa00,pass_att,0,,,,,
player,201009120oti,oti,WashNa00,pass_yds,0,,,,,
player,201009120oti,oti,WashNa00,pass_td,0,,,,,
player,201009120oti,oti,WashNa00,pass_int,0,,,,,
player,201009120oti,oti,WashNa00,pass_sacked,,,,,,
player,201009120oti,oti,WashNa00,pass_sacked_yds,,,,,,
player,201009120oti,oti,WashNa00,pass_long,0,,,,,
player,201009120oti,oti,WashNa00,pass_rating,,,,,,
player,201009120oti,oti,WashNa00,rush_att,0,,,,,
player,201009120oti,oti,WashNa00,rush_yds,0,,,,,
player,201009120oti,oti,WashNa00,rush_td,0,,,,,
player,201009120oti,oti,WashNa00,rush_long,0,,,,,
player,201009120oti,oti,WashNa00,targets,4,,,,,
player,201009120oti,oti,WashNa00,rec,3,,,,,
player,201009120oti,oti,WashNa00,rec_yds,88,,,,,
player,201009120oti,oti,WashNa00,rec_td,1,,,,,
player,201009120oti,oti,WashNa00,rec_long,56,,,,,
player,201009120oti,oti,WashNa00,fumbles,0,,,,,
player,201009120oti,oti,WashNa00,fumbles_lost,,,,,,
player,201009120oti,oti,ScaiBo00,pass_cmp,0,,,,,
player,201009120oti,oti,ScaiBo00,pass_att,0,,,,,
player,201009120oti,oti,ScaiBo00,pass_yds,0,,,,,
player,201009120oti,oti,ScaiBo00,pass_td,0,,,,,
player,201009120oti,oti,ScaiBo00,pass_int,0,,,,,
player,201009120oti,oti,ScaiBo00,pass_sacked,,,,,,
player,201009120oti,oti,ScaiBo00,pass_sacked_yds,,,,,,
player,201009120oti,oti,ScaiBo00,pass_long,0,,,,,
player,201009120oti,oti,ScaiBo00,pass_rating,,,,,,
player,201009120oti,oti,ScaiBo00,rush_att,0,,,,,
player,201009120oti,oti,ScaiBo00,rush_yds,0,,,,,
player,201009120oti,oti,ScaiBo00,rush_td,0,,,,,
player,201009120oti,oti,ScaiBo00,rush_long,0,,,,,
player,201009120oti,oti,ScaiBo00,targets,3,,,,,
player,201009120oti,oti,ScaiBo00,rec,3,,,,,
player,201009120oti,oti,ScaiBo00,rec_yds,37,,,,,
player,201009120oti,oti,ScaiBo00,rec_td,1,,,,,
player,201009120oti,oti,ScaiBo00,rec_long,28,,,,,
player,201009120oti,oti,ScaiBo00,fumbles,1,,,,,
player,201009120oti,oti,ScaiBo00,fumbles_lost,0,,,,,
player,201009120oti,oti,StevCr00,pass_cmp,0,,,,,
player,201009120oti,oti,StevCr00,pass_att,0,,,,,
player,201009120oti,oti,StevCr00,pass_yds,0,,,,,
player,201009120oti,oti,StevCr00,pass_td,0,,,,,
player,201009120oti,oti,StevCr00,pass_int,0,,,,,
player,201009120oti,oti,StevCr00,pass_sacked,,,,,,
player,201009120oti,oti,StevCr00,pass_sacked_yds,,,,,,
player,201009120oti,oti,StevCr00,pass_long,0,,,,,
player,201009120oti,oti,StevCr00,pass_rating,,,,,,
player,201009120oti,oti,StevCr00,rush_att,0,,,,,
player,201009120oti,oti,StevCr00,rush_yds,0,,,,,
player,201009120oti,oti,StevCr00,rush_td,0,,,,,
player,201009120oti,oti,StevCr00,rush_long,0,,,,,
player,201009120oti,oti,StevCr00,targets,2,,,,,
player,201009120oti,oti,StevCr00,rec,2,,,,,
player,201009120oti,oti,StevCr00,rec_yds,18,,,,,
player,201009120oti,oti,StevCr00,rec_td,0,,,,,
player,201009120oti,oti,StevCr00,rec_long,9,,,,,
player,201009120oti,oti,StevCr00,fumbles,0,,,,,
player,201009120oti,oti,StevCr00,fumbles_lost,,,,,,
player,201009120oti,oti,HallAh00,pass_cmp,0,,,,,
player,201009120oti,oti,HallAh00,pass_att,0,,,,,
player,201009120oti,oti,HallAh00,pass_yds,0,,,,,
player,201009120oti,oti,HallAh00,pass_td,0,,,,,
player,201009120oti,oti,HallAh00,pass_int,0,,,,,
player,201009120oti,oti,HallAh00,pass_sacked,,,,,,
player,201009120oti,oti,HallAh00,pass_sacked_yds,,,,,,
player,201009120oti,oti,HallAh00,pass_long,0,,,,,
player,201009120oti,oti,HallAh00,pass_rating,,,,,,
player,201009120oti,oti,HallAh00,rush_att,0,,,,,
player,201009120oti,oti,HallAh00,rush_yds,0,,,,,
player,201009120oti,oti,HallAh00,rush_td,0,,,,,
player,201009120oti,oti,HallAh00,rush_long,0,,,,,
player,201009120oti,oti,HallAh00,targets,1,,,,,
player,201009120oti,oti,HallAh00,rec,1,,,,,
player,201009120oti,oti,HallAh00,rec_yds,3,,,,,
player,201009120oti,oti,HallAh00,rec_td,0,,,,,
player,201009120oti,oti,HallAh00,rec_long,3,,,,,
player,201009120oti,oti,HallAh00,fumbles,0,,,,,
player,201009120oti,oti,HallAh00,fumbles_lost,,,,,,
player,201009120oti,oti,MariMa00,pass_cmp,0,,,,,
player,201009120oti,oti,MariMa00,pass_att,0,,,,,
player,201009120oti,oti,MariMa00,pass_yds,0,,,,,
player,201009120oti,oti,MariMa00,pass_td,0,,,,,
player,201009120oti,oti,MariMa00,pass_int,0,,,,,
player,201009120oti,oti,MariMa00,pass_sacked,,,,,,
player,201009120oti,oti,MariMa00,pass_sacked_yds,,,,,,
player,201009120oti,oti,MariMa00,pass_long,0,,,,,
player,201009120oti,oti,MariMa00,pass_rating,,,,,,
player,201009120oti,oti,MariMa00,rush_att,0,,,,,
player,201009120oti,oti,MariMa00,rush_yds,0,,,,,
player,201009120oti,oti,MariMa00,rush_td,0,,,,,
player,201009120oti,oti,MariMa00,rush_long,0,,,,,
player,201009120oti,oti,MariMa00,targets,1,,,,,
player,201009120oti,oti,MariMa00,rec,0,,,,,
player,201009120oti,oti,MariMa00,rec_yds,0,,,,,
player,201009120oti,oti,MariMa00,rec_td,0,,,,,
player,201009120oti,oti,MariMa00,rec_long,0,,,,,
player,201009120oti,oti,MariMa00,fumbles,0,,,,,
player,201009120oti,oti,MariMa00,fumbles_lost,,,,,,
player,201009120oti,oti,GageJu00,pass_cmp,,,,,,
player,201009120oti,oti,GageJu00,pass_att,,,,,,
player,201009120oti,oti,GageJu00,pass_yds,,,,,,
player,201009120oti,oti,GageJu00,pass_td,,,,,,
player,201009120oti,oti,GageJu00,pass_int,,,,,,
player,201009120oti,oti,GageJu00,pass_sacked,,,,,,
player,201009120oti,oti,GageJu00,pass_sacked_yds,,,,,,
player,201009120oti,oti,GageJu00,pass_long,,,,,,
player,201009120oti,oti,GageJu00,pass_rating,,,,,,
player,201009120oti,oti,GageJu00,rush_att,,,,,,
player,201009120oti,oti,GageJu00,rush_yds,,,,,,
player,201009120oti,oti,GageJu00,rush_td,,,,,,
player,201009120oti,oti,GageJu00,rush_long,,,,,,
player,201009120oti,oti,GageJu00,targets,1,,,,,
player,201009120oti,oti,GageJu00,rec,0,,,,,
player,201009120oti,oti,GageJu00,rec_yds,0,,,,,
player,201009120oti,oti,GageJu00,rec_td,0,,,,,
player,201009120oti,oti,GageJu00,rec_long,,,,,,
player,201009120oti,oti,GageJu00,fumbles,,,,,,
player,201009120oti,oti,GageJu00,fumbles_lost,,,,,,
player,201009120oti,oti,CookJa02,pass_cmp,,,,,,
player,201009120oti,oti,CookJa02,pass_att,,,,,,
player,201009120oti,oti,CookJa02,pass_yds,,,,,,
player,201009120oti,oti,CookJa02,pass_td,,,,,,
player,201009120oti,oti,CookJa02,pass_int,,,,,,
player,201009120oti,oti,CookJa02,pass_sacked,,,,,,
player,201009120oti,oti,CookJa02,pass_sacked_yds,,,,,,
player,201009120oti,oti,CookJa02,pass_long,,,,,,
player,201009120oti,oti,CookJa02,pass_rating,,,,,,
player,201009120oti,oti,CookJa02,rush_att,,,,,,
player,201009120oti,oti,CookJa02,rush_yds,,,,,,
player,201009120oti,oti,CookJa02,rush_td,,,,,,
player,201009120oti,oti,CookJa02,rush_long,,,,,,
player,201009120oti,oti,CookJa02,targets,1,,,,,
player,201009120oti,oti,CookJa02,rec,0,,,,,
player,201009120oti,oti,CookJa02,rec_yds,0,,,,,
player,201009120oti,oti,CookJa02,rec_td,0,,,,,
player,201009120oti,oti,CookJa02,rec_long,,,,,,
player,201009120oti,oti,CookJa02,fumbles,,,,,,
player,201009120oti,oti,CookJa02,fumbles_lost,,,,,,
player,201009120oti,rai,WimbKa20,def_int,0,,,,,
player,201009120oti,rai,WimbKa20,def_int_yds,0,,,,,
player,201009120oti,rai,WimbKa20,def_int_td,0,,,,,
player,201009120oti,rai,WimbKa20,def_int_long,0,,,,,
player,201009120oti,rai,WimbKa20,pass_defended,0,,,,,
player,201009120oti,rai,WimbKa20,sacks,1.0,,,,,
player,201009120oti,rai,WimbKa20,tackles_combined,5,,,,,
player,201009120oti,rai,WimbKa20,tackles_solo,4,,,,,
player,201009120oti,rai,WimbKa20,tackles_assists,1,,,,,
player,201009120oti,rai,WimbKa20,tackles_loss,0,,,,,
player,201009120oti,rai,WimbKa20,qb_hits,1,,,,,
player,201009120oti,rai,WimbKa20,fumbles_rec,0,,,,,
player,201009120oti,rai,WimbKa20,fumbles_rec_yds,0,,,,,
player,201009120oti,rai,WimbKa20,fumbles_rec_td,0,,,,,
player,201009120oti,rai,WimbKa20,fumbles_forced,1,,,,,
player,201009120oti,rai,ShauMa99,def_int,0,,,,,
player,201009120oti,rai,ShauMa99,def_int_yds,0,,,,,
